route,status,skill,window_start,window_end
r01_south_beach_harbor_circuit,red,intermediate,,
r02_mccovey_cove_loop,red,intermediate,,
r04_mission_rock_triangle,red,intermediate,,
r03_mission_creek_out_back,red,intermediate,,
r05_crane_cove_out_back,red,intermediate,,
r06_dogpatch_waterfront_loop,red,intermediate,,
r22_southern_shelters_circuit,red,intermediate,,
r08_southern_waterfront_grand_loop,red,intermediate,,
r07_islais_creek_out_back,red,intermediate,,
r09_bay_bridge_ferry_loop,red,intermediate,,
r10_pier39_waterfront_out_back,red,intermediate,,
r16_clipper_cove_out_back,red,intermediate,,
r11_aquatic_park_loop,red,intermediate,,
r21_three_refuges_circuit,red,intermediate,,
r12_sf_marina_out_back,red,intermediate,,
r18_alcatraz_east_view_loop,red,intermediate,,
r13_crissy_field_out_back,red,intermediate,,
r17_yerba_buena_treasure_loop,red,intermediate,,
r19_alcatraz_circumnavigation,red,intermediate,,
r20_central_bay_grand_loop,red,intermediate,,
r14_fort_point_out_back,red,intermediate,,
r15_horseshoe_cove_gate_approach,red,intermediate,,
